"description","amount","unit","kCalories","protein","carbohydrates","fat","vitA","vitB1","vitB2","vitB3","vitB5","vitB6","vitB9","vitB12","vitC","vitD","vitE","vitK","choline","calcium","copper","iron","magnesium","manganese","phosphorus","potassium","selenium","sodium","zinc","water","fiber","cholesterol","saturatedFat","monoUnsaturatedFat","polyUnsaturatedFat","glycemicIndex","comments",
"Plátano verde asado",100,"gr","279.80","1.5","68.0","0.2",0,0,0,0,0,0,0,0,"1.40",0,0,0,0,10,0,"0.80",0,0,80,0,0,0,"0.13","29.1",0,0,0,0,0,0,0,0,
"Plátano verde sancochado",100,"gr","152.70","0.7","36.8","0.3",0,0,0,0,0,0,0,0,"3.40",0,0,0,0,10,0,"0.70",0,0,35,0,0,0,"0.13","61.6",0,0,0,0,0,0,0,0,
"Sandia P.C.",100,"gr","27.30","0.7","5.9","0.1",0,0,0,0,0,0,0,0,"3.00",0,0,0,0,6,0,"0.30",0,0,5,0,0,0,"0.10","93.0",0,0,0,0,0,0,0,0,
"Mango ciruelo (Taperibá) P.C.",100,"gr","61.90","0.6","14.2","0.3",0,0,0,0,0,0,0,0,"5.90",0,0,0,0,39,0,"0.70",0,0,27,0,0,0,"0.0","84.5",0,0,0,0,0,0,0,0,
"Toronja P.C.",100,"gr","41.20","0.6","8.8","0.4",0,0,0,0,0,0,0,0,"50.60",0,0,0,0,34,0,"2.00",0,0,16,0,0,0,"0.07","89.8",0,0,0,0,0,0,0,0,
"Tuna P.C.",100,"gr","64.80","0.8","15.4","0.0",0,0,0,0,0,0,0,0,"19.50",0,0,0,0,16,0,"0.30",0,0,26,0,0,0,"0.12","82.3",0,0,0,0,0,0,0,0,
"Tuna colorada P.C.",100,"gr","64.40","0.6","15.5","0.0",0,0,0,0,0,0,0,0,"25.50",0,0,0,0,39,0,"0.20",0,0,39,0,0,0,"0.12","83.5",0,0,0,0,0,0,0,0,
"Uva blanca P.C.",100,"gr","48.20","0.3","11.3","0.2",0,0,0,0,0,0,0,0,"1.40",0,0,0,0,5,0,"0.80",0,0,20,0,0,0,"0.07","87.8",0,0,0,0,0,0,0,0,
"Uva borgoña P.C.",100,"gr","91.50","0.9","21.3","0.3",0,0,0,0,0,0,0,0,"4.70",0,0,0,0,18,0,"1.10",0,0,32,0,0,0,"0.07","77.0",0,0,0,0,0,0,0,0,
"Uva italia P.C.",100,"gr","73.30","0.4","17.7","0.1",0,0,0,0,0,0,0,0,"2.80",0,0,0,0,19,0,"0.50",0,0,28,0,0,0,"0.07","81.1",0,0,0,0,0,0,0,0,
"Uva negra P.C.",100,"gr","74.10","0.2","18.1","0.1",0,0,0,0,0,0,0,0,"2.20",0,0,0,0,6,0,"2.20",0,0,20,0,0,0,"0.07","81.2",0,0,0,0,0,0,0,0,
"Uva quebranta P.C.",100,"gr","73.70","0.5","17.7","0.1",0,0,0,0,0,0,0,0,"0.70",0,0,0,0,14,0,"0.40",0,0,11,0,0,0,"0.0","81.4",0,0,0,0,0,0,0,0,
"Zapote P.C.",100,"gr","81.50","0.9","18.8","0.3",0,0,0,0,0,0,0,0,"8.90",0,0,0,0,22,0,"1.80",0,0,17,0,0,0,"0.0","79.7",0,0,0,0,0,0,0,0,
"kiwicha o achis",100,"gr","387.00","12.80","69.1","6.6",0,0,0,0,0,0,0,0,"1.30",0,0,0,0,236,0,"7.32",0,0,453,0,0,0,"2.68","9.2",0,0,0,0,0,0,0,0,
"Arroz pilado o pulido cocido",100,"gr","111.30","2.40","25.2","0.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,11,0,"0.30",0,0,30,0,0,0,"0.42","72.2",0,0,0,0,0,0,0,0,
"Arroz blanco corriente",100,"gr","347.90","7.80","77.6","0.7",0,0,0,0,0,0,0,0,"0.90",0,0,0,0,6,0,"1.04",0,0,134,0,0,0,"1.51","13.4",0,0,0,0,0,0,0,0,
"Arroz con cáscara",100,"gr","344.40","5.90","75.7","2.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,40,0,"0.0",0,0,185,0,0,0,"0.20","11.9",0,0,0,0,0,0,0,0,
"Avena envasada",100,"gr","382.30","13.70","71.3","4.7",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,51,0,"3.50",0,0,713,0,0,0,"3.97","6.1",0,0,0,0,0,0,0,0,
"Avena, hojuela cocida",100,"gr","53.30","1.30","10.9","0.5",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,21,0,"0.50",0,0,42,0,0,0,"0.0","87.1",0,0,0,0,0,0,0,0,
